"","X.strike.","X.strikedate.","X.nummentions."
"1","strike","strikedate","nummentions"
"755","87","18971","0"
"756","88","18967","2123"
"757","88","18968","1673"
"758","88","18969","2046"
"759","88","18970","1986"
"760","88","18971","2"
"761","88","18972","0"
"762","88","18973","0"
"763","88","18974","0"
"764","88","18975","0"
"765","88","18976","0"
"766","88","18977","0"
"767","88","18978","0"
"768","88","18979","0"
"769","88","18980","0"
"770","88","18981","0"
"771","88","18982","0"
"772","88","18983","0"
"773","88","18984","0"
"774","88","18985","0"
"775","88","18986","0"
"776","88","18987","0"
"777","88","18988","0"
"778","88","18989","0"
"779","88","18990","0"
"780","88","18991","0"
"781","88","18992","0"
"782","88","18993","0"
"783","88","18994","0"
"784","88","18995","0"
"785","88","18996","0"
"786","88","18997","0"
"787","88","18998","0"
"788","88","18999","0"
"789","88","19000","0"
"790","88","19001","0"
"791","88","19002","0"
"792","88","19003","0"
"793","88","19004","0"
"794","88","19005","0"
"795","88","19006","20"
"796","88","19007","8"
"797","88","19008","0"
"798","88","19009","0"
"799","88","19010","0"
"800","88","19011","0"
"801","88","19012","0"
"802","88","19013","0"
"803","88","19014","0"
"804","88","19015","0"
"805","88","19016","0"
"806","88","19017","3"
"807","89","18967","2305"
"808","89","18968","1851"
"809","89","18969","2254"
"810","89","18970","2205"
"811","89","18971","2"
"812","89","18972","0"
"813","89","18973","0"
"814","89","18974","0"
"815","89","18975","0"
"816","89","18976","0"
"817","89","18977","0"
"818","89","18978","0"
"819","89","18979","0"
"820","89","18980","0"
"821","89","18981","0"
"822","89","18982","0"
"823","89","18983","0"
"824","89","18984","0"
"825","89","18985","0"
"826","89","18986","0"
"827","89","18987","0"
"828","90","18965","1499"
"829","91","18965","891"
"830","92","18964","2458"
"831","93","18963","27"
"832","94","18963","171"
"833","95","18963","8"
"834","96","18962","371"
"835","96","18963","312"
"836","97","18962","65"
"837","98","18961","314"
"838","99","18961","265"
"839","100","18961","1028"
"840","101","18957","1712"
"841","102","18957","1173"
"842","102","18958","1509"
"843","102","18959","1267"
"844","102","18960","1520"
"845","102","18961","1318"
"846","102","18962","1734"
"847","102","18963","1555"
"848","102","18964","1550"
"849","102","18965","1308"
"850","102","18966","1558"
"851","102","18967","1412"
"852","102","18968","1094"
"853","102","18969","1270"
"854","102","18970","1311"
"855","102","18971","2"
"856","102","18972","0"
"857","102","18973","0"
"858","102","18974","0"
"859","102","18975","0"
"860","102","18976","0"
"861","102","18977","0"
"862","102","18978","0"
"863","102","18979","0"
"864","102","18980","0"
"865","102","18981","0"
"866","102","18982","0"
"867","102","18983","0"
"868","102","18984","0"
"869","102","18985","0"
"870","102","18986","0"
"871","102","18987","0"
"872","102","18988","0"
"873","102","18989","0"
"874","102","18990","0"
"875","102","18991","0"
"876","102","18992","0"
"877","102","18993","0"
"878","102","18994","0"
"879","102","18995","0"
"880","102","18996","0"
"881","102","18997","0"
"882","102","18998","0"
"883","102","18999","0"
"884","102","19000","0"
"885","102","19001","0"
"886","102","19002","0"
"887","102","19003","0"
"888","102","19004","0"
"889","102","19005","0"
"890","102","19006","8"
"891","102","19007","6"
"892","102","19008","0"
"893","102","19009","0"
"894","102","19010","0"
"895","102","19011","0"
"896","102","19012","0"
"897","102","19013","0"
"898","102","19014","0"
"899","102","19015","0"
"900","102","19016","0"
"901","102","19017","1"
"902","103","18956","666"
"903","103","18957","759"
"904","103","18958","887"
"905","103","18959","755"
"906","103","18960","983"
"907","104","18956","970"
"908","105","18955","968"
"909","106","18955","968"
"910","107","18954","308"
"911","108","18954","280"
"912","109","18953","964"
"913","109","18954","951"
"914","109","18955","981"
"915","109","18956","710"
"916","109","18957","836"
"917","109","18958","986"
"918","109","18959","884"
"919","109","18960","1009"
"920","109","18961","903"
"921","109","18962","1087"
"922","110","18953","2346"
"923","111","18952","837"
"924","111","18953","965"
"925","111","18954","945"
"926","111","18955","989"
"927","111","18956","715"
"928","111","18957","838"
"929","111","18958","987"
"930","111","18959","886"
"931","111","18960","1002"
"932","111","18961","903"
"933","111","18962","1084"
"934","111","18963","1016"
"935","111","18964","1003"
"936","111","18965","898"
"937","111","18966","1026"
"938","111","18967","862"
"939","111","18968","699"
"940","111","18969","860"
"941","111","18970","824"
"942","111","18971","0"
"943","111","18972","0"
"944","111","18973","0"
"945","111","18974","0"
"946","111","18975","0"
"947","111","18976","0"
"948","112","18951","226"
"949","113","18950","3"
"950","114","18950","5265"
"951","115","18950","2422"
"952","116","18950","236"
"953","116","18951","169"
"954","116","18952","193"
"955","116","18953","241"
"956","116","18954","200"
"957","116","18955","204"
"958","116","18956","148"
"959","116","18957","191"
"960","116","18958","194"
"961","116","18959","159"
"962","116","18960","227"
"963","116","18961","207"
"964","116","18962","204"
"965","116","18963","201"
"966","116","18964","189"
"967","116","18965","161"
"968","116","18966","248"
"969","116","18967","210"
"970","116","18968","165"
"971","116","18969","183"
"972","116","18970","198"
"973","116","18971","0"
"974","116","18972","0"
"975","116","18973","0"
"976","116","18974","0"
"977","116","18975","0"
"978","116","18976","0"
"979","116","18977","0"
"980","116","18978","0"
"981","116","18979","0"
"982","116","18980","0"
"983","116","18981","0"
"984","116","18982","0"
"985","116","18983","0"
"986","116","18984","0"
"987","116","18985","0"
"988","116","18986","0"
"989","116","18987","0"
"990","116","18988","0"
"991","116","18989","0"
"992","116","18990","0"
"993","116","18991","0"
"994","116","18992","0"
"995","116","18993","0"
"996","116","18994","0"
"997","116","18995","0"
"998","116","18996","0"
"999","116","18997","0"
"1000","116","18998","0"
"1001","116","18999","0"
"1002","116","19000","0"
"1003","116","19001","0"
"1004","116","19002","0"
"1005","116","19003","0"
"1006","116","19004","0"
"1007","116","19005","0"
"1008","116","19006","1"
"1009","116","19007","0"
