"","Date","Comments","Users","Posts","Total.Covid.Cases"
"426","2014-10-12",NA,906,NA,NA
"427","2014-10-13",NA,906,NA,NA
"428","2014-10-14",NA,906,NA,NA
"429","2014-10-15",NA,905,NA,NA
"430","2014-10-16",NA,904,NA,NA
"431","2014-10-17",NA,905,NA,NA
"432","2014-10-18",NA,906,NA,NA
"433","2014-10-19",NA,907,NA,NA
"434","2014-10-20",NA,908,NA,NA
"435","2014-10-21",NA,909,NA,NA
"436","2014-10-22",NA,910,NA,NA
"437","2014-10-23",NA,911,NA,NA
"438","2014-10-24",NA,914,NA,NA
"439","2014-10-25",NA,914,NA,NA
"440","2014-10-26",NA,914,NA,NA
"441","2014-10-27",NA,915,NA,NA
"442","2014-10-28",NA,914,NA,NA
"443","2014-10-29",NA,915,NA,NA
"444","2014-10-30",NA,915,NA,NA
"445","2014-10-31",NA,915,NA,NA
"446","2014-11-01",NA,914,NA,NA
"447","2014-11-02",NA,914,NA,NA
"448","2014-11-03",NA,916,NA,NA
"449","2014-11-04",NA,917,NA,NA
"450","2014-11-05",NA,915,NA,NA
"451","2014-11-06",NA,915,NA,NA
"452","2014-11-07",NA,915,NA,NA
"453","2014-11-08",NA,916,NA,NA
"454","2014-11-09",NA,920,NA,NA
"455","2014-11-10",NA,921,NA,NA
"456","2014-11-11",NA,922,NA,NA
"457","2014-11-12",NA,923,NA,NA
"458","2014-11-13",NA,925,NA,NA
"459","2014-11-14",NA,926,NA,NA
"460","2014-11-15",NA,927,NA,NA
"461","2014-11-16",NA,929,NA,NA
"462","2014-11-17",NA,930,NA,NA
"463","2014-11-18",NA,929,NA,NA
"464","2014-11-19",NA,930,NA,NA
"465","2014-11-20",NA,931,NA,NA
"466","2014-11-21",NA,932,NA,NA
"467","2014-11-22",NA,934,NA,NA
"468","2014-11-23",NA,934,NA,NA
"469","2014-11-24",NA,933,NA,NA
"470","2014-11-25",NA,933,NA,NA
"471","2014-11-26",NA,933,NA,NA
"472","2014-11-27",NA,933,NA,NA
"473","2014-11-28",NA,941,NA,NA
"474","2014-11-29",NA,942,NA,NA
"475","2014-11-30",NA,943,NA,NA
"476","2014-12-01",NA,942,NA,NA
"477","2014-12-02",NA,944,NA,NA
"478","2014-12-03",NA,946,NA,NA
"479","2014-12-04",NA,946,NA,NA
"480","2014-12-05",NA,946,NA,NA
"481","2014-12-06",NA,947,NA,NA
"482","2014-12-07",NA,948,NA,NA
"483","2014-12-08",NA,948,NA,NA
"484","2014-12-09",NA,949,NA,NA
"485","2014-12-10",NA,950,NA,NA
"486","2014-12-11",NA,951,NA,NA
"487","2014-12-12",NA,951,NA,NA
"488","2014-12-13",NA,954,NA,NA
"489","2014-12-14",NA,956,NA,NA
"490","2014-12-15",NA,957,NA,NA
"491","2014-12-16",NA,957,NA,NA
"492","2014-12-17",NA,959,NA,NA
"493","2014-12-18",NA,960,NA,NA
"494","2014-12-19",NA,960,NA,NA
"495","2014-12-20",NA,959,NA,NA
"496","2014-12-21",NA,958,NA,NA
"497","2014-12-22",NA,959,NA,NA
"498","2014-12-23",NA,959,NA,NA
"499","2014-12-24",NA,959,NA,NA
"500","2014-12-25",NA,961,NA,NA
"501","2014-12-26",NA,961,NA,NA
"502","2014-12-27",NA,961,NA,NA
"503","2014-12-28",NA,964,NA,NA
"504","2014-12-29",NA,965,NA,NA
